university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
Hanyang University,,38.85,30.75,35.15,,45.1,,38.9,41.25,,35.85
Harbin Institute of Technology,,35.45,,47.900000000000006,,52.25,,,,,
Harvard University,84.3,86.0,82.7,87.1,90.7,95.2,74.1,95.6,94.2,81.0,90.2
Hashemite University,,,,,,,,,14.15,,
Hasselt University,,,34.3,25.95,,32.7,,43.7,32.05,,
Hebrew University of Jerusalem,53.1,48.65,37.6,47.900000000000006,27.25,,59.4,50.0,52.6,58.7,52.6
Heidelberg University,64.7,,67.8,54.4,,,,74.5,75.9,58.7,
Helwan University,,,27.55,,,13.85,,15.2,14.15,,
Heriot-Watt University,,38.85,,35.15,,40.0,,47.15,41.25,,
Hiroshima University,,,30.75,17.299999999999997,27.25,22.65,,26.4,32.05,,
Hofstra University,,,34.3,,32.599999999999994,,,,,31.25,15.3
Hokkaido University,,,30.75,30.7,,36.7,,52.150000000000006,41.25,,32.3
Hong Kong Baptist University,27.45,38.85,34.3,45.5,32.599999999999994,,,,48.25,,35.85
Hong Kong Polytechnic University,42.75,67.9,37.6,53.5,,55.6,,,50.75,,53.2
Hosei University,,,,17.299999999999997,,22.65,,,,,
Howard University,,,52.9,,,22.65,,26.4,25.25,,15.3
Huaqiao University,,,,25.95,,22.65,,,14.15,,
Huazhong Agricultural University,,,,,,22.65,,32.650000000000006,,,
Huazhong University of Science and Technology,,38.85,43.85,43.65,,63.8,,38.9,45.2,,32.3
Humboldt University of Berlin,72.5,,,41.5,52.9,,,60.5,67.0,65.0,64.8
Hunan University,,41.45,,30.7,,45.1,,43.7,45.2,,15.3
Hyogo College of Medicine,,,27.55,,,,,,,,
I-Shou University,,,21.5,,,13.85,,,,,
IDC Herzliya,,,,,,,,,,31.25,32.3
IMT Atlantique,,,,43.65,,36.7,,,45.2,,
IPB University,,,,,,,,15.2,,,
ISCTE-University Institute of Lisbon,23.85,27.05,,17.299999999999997,,,,,,38.45,27.75
ITMO University,,,,57.5,,42.75,,,45.2,,
Ibaraki University,,,,,,13.85,,,14.15,,
Ibn Tofaïl University,,,,17.299999999999997,,22.65,,,14.15,,
Ilmenau University of Technology,,,,30.7,,28.8,,,25.25,,
Imam Abdulrahman Bin Faisal University,,,27.55,,,22.65,,,,,
Imam Khomeini International University,,,,,,32.7,,,,,
Imperial College London,,,80.0,87.2,,88.6,,87.1,89.3,,
Incheon National University,,,,,,13.85,,15.2,14.15,,
Indian Institute of Science,,,,47.900000000000006,,54.4,,47.15,45.2,,
Indian Institute of Science Education and Research Kolkata,,,,,,,,,14.15,,
"Indian Institute of Science Education and Research, Pune",,,,,,,,,36.35,,
Indian Institute of Technology (Indian School of Mines) Dhanbad,,,,,,22.65,,,14.15,,
Indian Institute of Technology Bhubaneswar,,,,,,22.65,,,32.05,,
Indian Institute of Technology Bombay,,,,45.5,,46.75,,38.9,36.35,,
Indian Institute of Technology Delhi,,,,,,46.75,,,,,
Indian Institute of Technology Gandhinagar,,,,,,13.85,,,,,
Indian Institute of Technology Guwahati,,,,25.95,,28.8,,32.650000000000006,25.25,,
Indian Institute of Technology Hyderabad,,,,25.95,,22.65,,,32.05,,
Indian Institute of Technology Indore,,,,38.7,,36.7,,,41.25,,
Indian Institute of Technology Kanpur,,,,38.7,,40.0,,,32.05,,
Indian Institute of Technology Kharagpur,,,,45.5,,42.75,,,32.05,,32.3
Indian Institute of Technology Madras,,,,38.7,,42.75,,,32.05,,
Indian Institute of Technology Patna,,,,,,22.65,,,,,
Indian Institute of Technology Roorkee,,,,35.15,,36.7,,26.4,32.05,,
Indian Institute of Technology Ropar,,,,,,28.8,,,32.05,,
Indiana University,45.4,59.5,42.2,38.7,66.6,42.75,21.6,52.150000000000006,50.75,55.9,64.0
Industrial University of Santander (UIS),,,,,,13.85,,,14.15,,
Inha University,,,21.5,17.299999999999997,,28.8,,,25.25,,15.3
Institut Teknologi Sepuluh Nopember,,,,30.7,,22.65,,,14.15,,
Institute of Chemical Technology,,,,,,32.7,,,32.05,,
"International Islamic University, Islamabad",,,,,,28.8,,,25.25,,
Iowa State University,15.85,41.45,,35.15,36.75,42.75,,50.0,45.2,41.2,35.85
Iran University of Medical Sciences,,,27.55,,,,,15.2,,,
Iran University of Science and Technology,,35.45,,30.7,,32.7,,,32.05,,
Isfahan University of Medical Sciences,,,21.5,,,,,,,,
Isfahan University of Technology,,,,30.7,,32.7,,26.4,25.25,,
Istanbul Medipol University,,,21.5,,,,,,,,
Istanbul Technical University,15.85,17.200000000000003,,30.7,,28.8,,,25.25,,
Istanbul University,,,30.75,,17.950000000000003,13.85,,15.2,14.15,,23.2
Ivan Franko National University of Lviv,,,,,,,,,14.15,,
Ivane Javakhishvili Tbilisi State University,,,,,,,,,14.15,,
Iwate University,,,,,,13.85,,15.2,,,
Izmir Institute of Technology,,,,,,13.85,,,25.25,,
Jacobs University,,,,,,42.75,,38.9,41.25,,
Jadavpur University,,,,,,22.65,,,25.25,,
Jagiellonian University,23.85,,34.3,17.299999999999997,,,,26.4,32.05,21.25,15.3
James Cook University,,35.45,37.6,,27.25,32.7,,54.45,48.25,21.25,41.75
Jamia Millia Islamia,,,,25.95,,32.7,,32.650000000000006,32.05,,
Jaume I University,15.85,31.6,,25.95,17.950000000000003,36.7,,,32.05,21.25,23.2
Jawaharlal Nehru University,23.85,,,30.7,,,,32.650000000000006,25.25,,27.75
Jeonbuk National University,,,21.5,17.299999999999997,,28.8,,15.2,25.25,,
Jiangsu Normal University,,,,,,28.8,,26.4,36.35,,
Jiangsu University,,,27.55,17.299999999999997,,22.65,,15.2,25.25,,
Jikei University School of Medicine,,,27.55,,,,,,,,
Jilin University,,,21.5,17.299999999999997,17.950000000000003,32.7,,26.4,25.25,,15.3
Jinan University,,35.45,27.55,25.95,,32.7,,26.4,,,
Johannes Gutenberg University of Mainz,27.45,,30.75,,,,,43.7,55.05,35.35,32.3
Johannes Kepler University of Linz,,31.6,,35.15,,40.0,,,36.35,,32.3
Johns Hopkins University,63.4,59.8,78.8,77.7,73.1,73.6,,92.4,77.0,,72.5
Jordan University of Science and Technology,,,45.5,38.7,,22.65,,15.2,36.35,,
Juntendo University,,,30.75,,,,,15.2,,,
Justus Liebig University Giessen,27.45,,34.3,,,,,32.650000000000006,41.25,31.25,35.85
K.N. Toosi University of Technology,,,,17.299999999999997,,22.65,,,14.15,,
KIIT University,,,,17.299999999999997,,13.85,,,14.15,,
KTH Royal Institute of Technology,,,,58.2,,63.6,,,50.75,,
KU Leuven,71.2,58.5,65.1,66.1,64.9,67.1,63.5,66.8,61.3,69.6,65.0
Kafrelsheikh University,,,,,,,,26.4,36.35,,
Kagawa University,,,21.5,,,22.65,,15.2,,,
Kagoshima University,,,21.5,,,13.85,,15.2,14.15,,
Kanagawa University,,,,,,13.85,,,14.15,,
Kanazawa University,,,27.55,,,22.65,,26.4,25.25,,
Kangwon National University,,,21.5,,,13.85,,15.2,25.25,,
Kansai Medical University,,,30.75,,,,,,,,
Kansai University,,,,17.299999999999997,,13.85,,,14.15,,
Kansas State University,15.85,27.05,34.3,25.95,27.25,22.65,,38.9,36.35,21.25,27.75
Kaohsiung Medical University,,,34.3,,,,,26.4,,,
Karabük University,,,,,,13.85,,,,,
Karlsruhe Institute of Technology,,,,67.2,,59.8,,,63.7,,
Karlstad University,,35.45,,,27.25,,,,,,27.75
Karolinska Institute,,,76.6,,,,,81.7,,73.3,
Kasetsart University,,,,17.299999999999997,,13.85,,26.4,14.15,,
Kaunas University of Technology,,17.200000000000003,,17.299999999999997,,13.85,,,14.15,,15.3
Kazan Federal University,27.45,31.6,30.75,,50.2,28.8,,32.650000000000006,41.25,,27.75
Kazan National Research Technological University,,,,,,13.85,,,,,
Keele University,15.85,,30.75,,32.599999999999994,,,32.650000000000006,32.05,43.6,38.75
Keio University,,31.6,37.6,30.7,,28.8,,47.15,25.25,,32.3
Kent State University,15.85,17.200000000000003,21.5,25.95,32.599999999999994,42.75,,,45.2,35.35,27.75
Khalifa University,,,,,,45.1,,,41.25,,
Kharazmi University,,,,,,22.65,,,14.15,,
Khon Kaen University,,,27.55,,17.950000000000003,22.65,,15.2,14.15,,
Kindai University,,,34.3,,,13.85,,15.2,14.15,,
King Abdulaziz University,,41.45,37.6,47.900000000000006,32.599999999999994,49.1,,50.0,55.05,38.45,38.75
King Fahd University of Petroleum and Minerals,,31.6,,,,36.7,,,36.35,,
King Khalid University,,,34.3,,,28.8,,,25.25,,
King Mongkut's University of Technology North Bangkok,,,,17.299999999999997,,13.85,,,14.15,,
King Mongkut’s Institute of Technology Ladkrabang,,,,17.299999999999997,,22.65,,,14.15,,
King Mongkut’s University of Technology Thonburi,,,,17.299999999999997,,28.8,,15.2,25.25,,
King Saud University,,38.85,34.3,38.7,32.599999999999994,40.0,,32.650000000000006,36.35,,32.3
King Saud bin Abdulaziz University for Health Sciences,,,30.75,,,,,,,,
Kingston University,15.85,31.6,27.55,,36.75,32.7,,,,21.25,15.3
King’s College London,70.3,45.55,74.2,56.6,75.4,,67.1,75.2,57.8,,67.7
Kitasato University,,,21.5,,,,,15.2,,,
Kobe University,,27.05,30.75,17.299999999999997,,22.65,,32.650000000000006,25.25,,23.2
Kochi University,,,21.5,,,,,15.2,25.25,,
Kogakuin University,,,,,,13.85,,,14.15,,
Konkuk University,,,,17.299999999999997,,28.8,,32.650000000000006,25.25,,
Kookmin University,,,,17.299999999999997,,13.85,,,14.15,,
Korea Advanced Institute of Science and Technology (KAIST),,43.3,,70.8,,75.8,,,59.6,,
Korea University,30.6,48.65,50.3,47.900000000000006,57.1,54.8,,43.7,48.25,41.2,32.3
Koç University,,,30.75,,,32.7,,,32.05,38.45,38.75
Kumamoto University,,,21.5,,,13.85,,26.4,14.15,,
Kurume University,,,27.55,,,,,,,,
Kuwait University,,,30.75,30.7,,22.65,,26.4,14.15,,23.2
Kwansei Gakuin University,,,,,,,,,14.15,,
Kyoto Institute of Technology,,,,17.299999999999997,,13.85,,,,,
Kyoto Prefectural University of Medicine,,,21.5,,,,,,,,
Kyoto University,42.75,54.0,70.7,56.5,54.8,65.4,,72.8,66.2,43.6,56.2
Kyung Hee University,,43.3,40.2,41.5,,42.75,,26.4,32.05,,38.75
Kyungpook National University,,,21.5,30.7,,22.65,,15.2,25.25,,15.3
Kyushu Institute of Technology (Kyutech),,,,,,22.65,,,,,
Kyushu University,,27.05,37.6,30.7,,40.0,,43.7,41.25,31.25,35.85
L.N. Gumilyov Eurasian National University,,,,,,,,,14.15,,
LMU Munich,75.0,64.4,62.5,61.6,59.9,,,78.0,81.0,62.6,59.8
La Trobe University,33.25,35.45,40.2,35.15,47.85,,,47.15,25.25,41.2,32.3
Lakehead University,,,,,,36.7,,,32.05,,15.3
Lancaster University,58.2,48.65,37.6,47.900000000000006,59.0,,32.3,54.45,48.25,43.6,53.7
Lappeenranta-Lahti University of Technology LUT,,41.45,,,,32.7,,,41.25,,
Latvia University of Life Sciences and Technologies,,,,,,13.85,,15.2,,,15.3
Leeds Beckett University,,17.200000000000003,21.5,,27.25,,,,,31.25,32.3
Lehigh University,,31.6,,41.5,27.25,36.7,,,41.25,35.35,23.2
Leibniz University Hannover,,27.05,,35.15,,36.7,,32.650000000000006,41.25,,35.85
Leiden University,71.7,,54.3,,,,66.2,,62.2,,67.0
Lincoln University,,,,,,,,38.9,,,38.75
Linköping University,,35.45,34.3,43.65,32.599999999999994,49.1,,38.9,41.25,35.35,35.85
Liverpool John Moores University,15.85,17.200000000000003,34.3,30.7,17.950000000000003,32.7,,43.7,,21.25,23.2
Lobachevsky State University of Nizhni Novgorod,,,,,,13.85,,,25.25,,
Lodz University of Technology,,17.200000000000003,,17.299999999999997,,13.85,,15.2,14.15,,
Lomonosov Moscow State University,50.8,45.55,37.6,51.1,36.75,49.1,,52.150000000000006,61.5,43.6,27.75
London School of Economics and Political Science,67.7,87.6,,,,,76.4,,45.2,75.1,86.8
London South Bank University,,,21.5,,,,,,,31.25,15.3
Londrina State University,,,21.5,,17.950000000000003,,,15.2,14.15,,
Loughborough University,38.6,38.85,,30.7,,36.7,,43.7,32.05,38.45,50.45
Louisiana State University,15.85,27.05,,25.95,32.599999999999994,28.8,21.6,32.650000000000006,41.25,31.25,27.75
Louisiana Tech University,,,,,,22.65,,,,,
"Lumière University, Lyon 2",27.45,17.200000000000003,,,17.950000000000003,,,,,21.25,23.2
Lund University,42.75,55.8,50.8,43.65,,52.25,51.1,63.8,62.6,35.35,56.7
Lviv Polytechnic National University,,17.200000000000003,,38.7,,22.65,,,25.25,,
M'Hamed Bougara University of Boumerdès,,,,,,13.85,,,14.15,,
MIREA - Russian Technological University,,,,,,13.85,,,14.15,,
Maastricht University,,56.8,55.6,38.7,73.4,,58.3,,,53.2,44.25
Macau University of Science and Technology,,,,47.900000000000006,,,,,,,
Macquarie University,45.3,43.3,42.2,38.7,47.85,42.75,32.3,54.45,48.25,46.55,38.75
Mae Fah Luang University,,,,,,,,43.7,,,
Maharaja Sayajirao University of Baroda,,,,,,13.85,,,14.15,,
Mahidol University,,17.200000000000003,45.5,17.299999999999997,41.1,22.65,,38.9,25.25,,23.2
Makerere University,,,37.6,,17.950000000000003,,,15.2,,,23.2
Manchester Metropolitan University,23.85,35.45,30.75,,32.599999999999994,40.0,,32.650000000000006,32.05,31.25,32.3
Manipal Academy of Higher Education,,,34.3,17.299999999999997,,13.85,,15.2,14.15,,
Mansoura University,,,42.2,38.7,,28.8,,15.2,14.15,,
Marche Polytechnic University,,27.05,27.55,,,32.7,,38.9,,,
Marmara University,,,21.5,,17.950000000000003,13.85,,,14.15,,15.3
Marquette University,15.85,17.200000000000003,21.5,,27.25,22.65,,,,21.25,15.3
Masaryk University,23.85,17.200000000000003,30.75,25.95,27.25,,32.3,32.650000000000006,32.05,35.35,23.2
Mashhad University of Medical Sciences,,,27.55,,,,,,,,
Massachusetts Institute of Technology,85.8,91.9,,91.0,,94.5,,93.7,94.2,,93.9
Massey University,15.85,31.6,34.3,,32.599999999999994,36.7,,43.7,32.05,31.25,27.75
Maynooth University,23.85,,,,,,,,48.25,,38.75
McGill University,59.4,51.1,71.7,59.1,63.7,67.2,68.9,71.5,66.4,69.1,65.0
McMaster University,30.6,38.85,71.0,51.1,,36.7,,57.0,45.2,46.55,32.3
Medical University of Graz,,,37.6,,,,,,,,
Medical University of Innsbruck,,,37.6,,,,,,,,
Medical University of Vienna,,,49.8,,,,,,,,
Meiji University,,,,17.299999999999997,,13.85,,,14.15,,
Meijo University,,,,,,13.85,,,,,
Memorial University of Newfoundland,15.85,27.05,34.3,35.15,27.25,36.7,,38.9,32.05,21.25,23.2
Mendel University in Brno,,,,,,,,15.2,14.15,,15.3
Menoufia University,,,21.5,25.95,,22.65,,,14.15,,
Metropolitan Autonomous University,,,43.85,17.299999999999997,,13.85,,15.2,14.15,,15.3
Michigan State University,42.75,66.1,47.8,53.2,80.1,52.25,,64.9,61.4,66.5,60.7
Michoacán University of San Nicolás of Hidalgo,,,,,,13.85,,15.2,14.15,,
Middle East Technical University,23.85,17.200000000000003,,30.7,44.3,28.8,,,25.25,31.25,27.75
Middlesex University,15.85,35.45,,41.5,32.599999999999994,,,,,38.45,32.3
Mie University,,,21.5,,,13.85,,15.2,,,
Miguel Hernández University of Elche,,,30.75,,,13.85,,26.4,25.25,21.25,
Ming Chuan University,,17.200000000000003,,,,,,,,,
Minia University,,,21.5,,,22.65,,,14.15,,
Mississippi State University,15.85,31.6,,25.95,17.950000000000003,28.8,,26.4,25.25,38.45,27.75
Missouri University of Science and Technology,,,,35.15,,42.75,,,36.35,,
Mizzou - University of Missouri,27.45,27.05,34.3,35.15,41.1,28.8,,38.9,32.05,43.6,38.75
Mohammed V University of Rabat,,17.200000000000003,27.55,17.299999999999997,,13.85,,15.2,14.15,,
Monash University,42.75,48.65,64.6,41.5,52.5,60.4,50.5,66.3,59.7,46.55,47.150000000000006
Montana State University,,,27.55,,17.950000000000003,13.85,,38.9,48.25,21.25,27.75
Monterrey Institute of Technology,,35.45,27.55,25.95,39.2,36.7,,32.650000000000006,32.05,,
Montpellier University,,31.6,34.3,30.7,,32.7,,62.6,41.25,,
Moscow Aviation Institute,,,,,,13.85,,,,,
Moscow Institute of Physics and Technology (MIPT),,,,54.0,,36.7,,43.7,71.3,,
Moscow Power Engineering Institute,,,,,,13.85,,,,,
Multimedia University,,17.200000000000003,,17.299999999999997,,13.85,,,,,
Murdoch University,27.45,27.05,30.75,,36.75,28.8,,43.7,,31.25,44.25
Muroran Institute of Technology,,,,,,22.65,,,,,
NOVA University of Lisbon,30.6,43.3,27.55,,32.599999999999994,28.8,,,32.05,,32.3
Nagaoka University of Technology,,,,,,22.65,,,,,
Nagasaki University,,,30.75,,,13.85,,15.2,,,
Nagoya City University,,,21.5,,,,,,,,
Nagoya Institute of Technology,,,,17.299999999999997,,22.65,,,14.15,,
Nagoya University,30.6,,34.3,35.15,36.75,46.75,,52.150000000000006,57.8,35.35,38.75
Nanjing Agricultural University,,,,,,22.65,,32.650000000000006,25.25,,
Nanjing Medical University,,,30.75,,,,,,,,
Nanjing Normal University,,,,30.7,,36.7,,26.4,32.05,,15.3
Nanjing Tech University,,,,,,32.7,,,32.05,,
Nanjing University,38.6,48.65,47.8,57.6,,59.5,,54.45,61.1,,44.25
Nanjing University of Aeronautics and Astronautics,,31.6,,17.299999999999997,,22.65,,,14.15,,15.3
Nanjing University of Information Science and Technology,,,,38.7,,36.7,,,25.25,,23.2
Nankai University,,35.45,34.3,35.15,,46.75,,47.15,48.25,,27.75
"Nanyang Technological University, Singapore",42.75,61.0,47.8,85.3,67.2,87.4,,67.1,73.1,49.25,61.1
Nara Medical University,,,21.5,,,,,,,,
Naresuan University,,,21.5,,,13.85,,,14.15,,
National Autonomous University of Mexico,42.75,17.200000000000003,30.75,17.299999999999997,41.1,22.65,37.0,26.4,25.25,31.25,32.3
National Central University,,17.200000000000003,,25.95,,22.65,,26.4,25.25,,27.75
National Changhua University of Education,,,,,32.599999999999994,13.85,,,14.15,,
National Cheng Kung University (NCKU),,27.05,34.3,35.15,,40.0,,32.650000000000006,25.25,,32.3
National Chengchi University,,31.6,,17.299999999999997,36.75,,,,,,32.3
National Chiao Tung University,,35.45,,43.65,47.85,42.75,,32.650000000000006,25.25,,
National Chiayi University,,,,,,13.85,,15.2,,,
National Chin-Yi University of Technology,,,,,,13.85,,,,,
National Chung Cheng University,,17.200000000000003,,25.95,,22.65,,,14.15,,23.2
National Chung Hsing University,,17.200000000000003,,17.299999999999997,,22.65,,15.2,14.15,,
National Dong Hwa University,,,,30.7,,22.65,,,14.15,,
National Institute of Applied Sciences of Lyon (INSA Lyon),,,,,,36.7,,,,,
National Institute of Technology Rourkela,,,,,,22.65,,,25.25,,
"National Institute of Technology, Tiruchirappalli",,,,17.299999999999997,,22.65,,,25.25,,
National Polytechnic University (IPN),,,,,,13.85,,15.2,,,
National Research Nuclear University MEPhI,,,,35.15,,32.7,,,57.8,,
National Research Saratov State University,,,,,,22.65,,,25.25,,
National Sun Yat-Sen University,,31.6,,30.7,54.0,22.65,,15.2,25.25,,23.2
National Taipei University,,27.05,,,,,,,,,
National Taipei University of Technology,,,,,,28.8,,,,,
National Taiwan Normal University,30.6,,,30.7,73.4,28.8,,,25.25,41.2,32.3
National Taiwan Ocean University,,,,,,13.85,,26.4,14.15,,
National Taiwan University (NTU),38.6,50.6,60.1,59.0,,61.7,,52.150000000000006,52.6,54.2,47.150000000000006
National Taiwan University of Science and Technology (Taiwan Tech),,41.45,,45.5,71.7,36.7,,,,,
National Technical University Kharkiv Polytechnic Institute,,,,,,13.85,,,14.15,,
National Technical University of Athens,,,,,,28.8,,,,,
National Tsing Hua University,,,37.6,47.900000000000006,44.3,52.25,,50.0,45.2,,23.2
National University of Colombia,15.85,17.200000000000003,30.75,17.299999999999997,27.25,13.85,,15.2,14.15,,
National University of Córdoba,15.85,,21.5,,,22.65,,15.2,25.25,21.25,23.2
"National University of Ireland, Galway",27.45,35.45,37.6,35.15,27.25,40.0,,43.7,36.35,35.35,32.3
National University of Kaohsiung,,,,17.299999999999997,,13.85,,,14.15,,
National University of San Martín,,,,,,,,,,,15.3
National University of Science and Technology (MISiS),,,,,,28.8,,,36.35,,
National University of Sciences and Technology,,,,30.7,,28.8,,,25.25,,
National University of Singapore,63.5,83.2,73.9,85.9,,88.4,72.3,79.8,83.8,63.2,75.9
National University of the South,,,,,,13.85,,15.2,14.15,,
National Yang-Ming University,,,40.2,,,13.85,,26.4,,,
National Yunlin University of Science and Technology,,,,,,13.85,,,,,
National and Kapodistrian University of Athens,23.85,,30.75,30.7,32.599999999999994,,,32.650000000000006,32.05,,23.2
New Jersey Institute of Technology,,,,41.5,,42.75,,,25.25,,
New Mexico Institute of Mining and Technology,,,,,,,,,41.25,,
New Mexico State University (Main campus),,,,25.95,17.950000000000003,32.7,,26.4,41.25,21.25,15.3
