university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
Tzu Chi University,,,21.5,,,,,15.2,,,
Télécom Paris,,,,47.900000000000006,,45.1,,,57.8,,44.25
UCL,84.0,78.1,78.1,83.2,76.4,67.3,73.0,90.1,75.4,82.4,82.6
UNSW Sydney,38.6,58.9,58.2,56.6,56.1,64.4,69.8,60.9,59.5,60.1,52.6
Ufa State Aviation Technical University,,,,,,13.85,,,14.15,,
UiT The Arctic University of Norway,30.6,17.200000000000003,37.6,,,22.65,,38.9,36.35,31.25,27.75
Ulm University,,,45.5,41.5,,42.75,,47.15,45.2,38.45,
Ulsan National Institute of Science and Technology (UNIST),,,,38.7,,52.25,,52.150000000000006,55.05,,
Ulster University,15.85,17.200000000000003,30.75,17.299999999999997,27.25,28.8,,32.650000000000006,,38.45,23.2
Umeå University,23.85,31.6,37.6,25.95,27.25,28.8,,50.0,41.25,35.35,32.3
Unisinos University,,17.200000000000003,,,17.950000000000003,,,,,,
United Arab Emirates University,,31.6,43.85,30.7,27.25,28.8,,32.650000000000006,25.25,,23.2
Universidad Autónoma de Chile,,,34.3,,,,,,,,
Universidad Peruana Cayetano Heredia,,,30.75,,,,,32.650000000000006,,,
Universitas Gadjah Mada,,31.6,21.5,,,22.65,,15.2,14.15,,23.2
Universiti Kebangsaan Malaysia,23.85,17.200000000000003,37.6,25.95,27.25,28.8,,15.2,14.15,,23.2
Universiti Malaysia Perlis,,,,,,13.85,,,41.25,,
Universiti Malaysia Sarawak (UNIMAS),,17.200000000000003,,,,13.85,,,,,
Universiti Putra Malaysia,23.85,31.6,30.75,17.299999999999997,27.25,32.7,,26.4,25.25,,
Universiti Sains Malaysia,27.45,35.45,34.3,30.7,36.75,28.8,,15.2,25.25,,27.75
Universiti Teknologi MARA,15.85,17.200000000000003,30.75,17.299999999999997,27.25,13.85,,,14.15,,15.3
Universiti Teknologi Malaysia,,45.55,,30.7,47.85,32.7,,,25.25,,38.75
Universiti Teknologi Petronas,,,,25.95,,32.7,,,25.25,,
Universiti Tenaga Nasional (UNITEN),,,,17.299999999999997,,32.7,,,,,
Universiti Tunku Abdul Rahman (UTAR),,17.200000000000003,,,,22.65,,,14.15,,
Universiti Utara Malaysia,,27.05,,17.299999999999997,17.950000000000003,,,,14.15,,23.2
University College Cork,23.85,17.200000000000003,43.85,25.95,27.25,32.7,,50.0,36.35,38.45,23.2
University College Dublin,35.599999999999994,38.85,40.2,38.7,44.3,46.75,,50.0,52.6,35.35,41.75
University Rey Juan Carlos,,17.200000000000003,21.5,25.95,27.25,28.8,,,32.05,,15.3
University at Buffalo,23.85,31.6,42.2,43.65,39.2,46.75,,32.650000000000006,41.25,35.35,32.3
University of A Coruña,15.85,17.200000000000003,21.5,25.95,17.950000000000003,22.65,,15.2,32.05,,15.3
University of Aberdeen,35.599999999999994,31.6,45.5,35.15,36.75,32.7,,62.9,48.25,41.2,44.25
University of Adelaide,33.25,38.85,47.8,53.9,47.85,52.25,32.3,54.45,55.05,41.2,38.75
"University of Agriculture, Faisalabad",,,27.55,,,32.7,,15.2,36.35,,
University of Alabama,15.85,31.6,34.3,30.7,32.599999999999994,32.7,32.3,,41.25,35.35,23.2
University of Alabama at Birmingham,,,49.9,,27.25,22.65,,,25.25,31.25,32.3
University of Alabama in Huntsville,,,,,,32.7,,,41.25,,
University of Alaska Fairbanks,,,,,,32.7,,43.7,50.75,,35.85
University of Alberta,30.6,51.6,54.6,51.1,47.85,49.1,21.6,54.45,52.6,46.55,38.75
University of Alcalá,23.85,,21.5,30.7,27.25,28.8,,26.4,32.05,,23.2
University of Algarve,,27.05,27.55,,,,,32.650000000000006,,,32.3
University of Alicante,15.85,17.200000000000003,21.5,25.95,27.25,32.7,,26.4,32.05,,15.3
University of Almería,,,,,17.950000000000003,28.8,,26.4,25.25,21.25,
University of Amsterdam,63.0,55.6,58.3,56.9,52.4,,65.5,52.150000000000006,57.8,74.6,75.9
University of Antioquia,15.85,,21.5,,17.950000000000003,22.65,,15.2,25.25,,15.3
University of Antwerp,35.599999999999994,45.55,40.2,43.65,52.4,40.0,37.0,47.15,52.6,,47.150000000000006
University of Arizona,48.5,48.65,45.5,41.5,47.85,45.1,32.3,58.4,66.1,,59.5
University of Arkansas,15.85,31.6,21.5,25.95,32.599999999999994,28.8,,26.4,25.25,31.25,23.2
University of Auckland,42.75,43.3,45.5,41.5,64.8,46.75,37.0,52.150000000000006,41.25,52.4,44.25
University of Aveiro,,,,,,32.7,,32.650000000000006,32.05,,27.75
University of Baghdad,,,34.3,,,22.65,,15.2,14.15,,
University of Barcelona,42.75,31.6,42.2,,36.75,36.7,32.3,47.15,45.2,46.55,35.85
University of Bari Aldo Moro,15.85,27.05,34.3,25.95,,,,32.650000000000006,36.35,31.25,
University of Basel,35.599999999999994,,49.7,45.5,,,,59.1,57.8,46.55,
University of Bath,27.45,41.45,40.2,30.7,51.7,45.1,,43.7,48.25,52.6,41.75
University of Bayreuth,,38.85,,,,42.75,,43.7,41.25,,32.3
University of Bedfordshire,,,,,36.75,,,,,,23.2
University of Beira Interior,,27.05,21.5,35.15,,36.7,,15.2,25.25,,23.2
University of Bergamo,,38.85,,,,32.7,,,,,
University of Bergen,33.25,,45.5,35.15,,,,47.15,48.25,41.2,41.75
University of Bern,38.6,35.45,47.8,41.5,,,,50.0,60.3,43.6,50.45
University of Birjand,,,,,,13.85,,,14.15,,
University of Birmingham,54.0,38.85,47.8,51.1,47.85,49.1,32.3,57.0,55.05,57.8,50.45
University of Biskra,,,,,,13.85,,,14.15,,
University of Bologna,42.75,38.85,45.5,51.1,44.3,42.75,44.5,38.9,48.25,43.6,44.25
University of Bonn,30.6,57.8,40.2,51.1,,,,60.2,68.4,43.6,44.25
University of Bordeaux,33.25,17.200000000000003,37.6,25.95,,28.8,,43.7,41.25,21.25,32.3
University of Bradford,,31.6,30.75,25.95,,22.65,,,25.25,,27.75
University of Brasília,15.85,17.200000000000003,34.3,17.299999999999997,27.25,13.85,,15.2,14.15,31.25,23.2
University of Brawijaya,,,,,,13.85,,15.2,14.15,,
University of Bremen,33.25,,,35.15,39.2,36.7,,50.0,41.25,21.25,41.75
University of Brescia,,27.05,30.75,,,28.8,,,,,
University of Brighton,15.85,31.6,27.55,,27.25,,,,32.05,,32.3
University of Bristol,46.1,41.45,54.1,51.1,55.7,55.8,52.4,57.0,64.7,59.9,50.45
University of British Columbia,57.7,73.6,69.3,71.6,75.2,67.7,60.5,80.0,69.1,76.8,72.5
University of Bucharest,15.85,17.200000000000003,,17.299999999999997,,,,26.4,14.15,,15.3
University of Burgos,,,,,,13.85,,,14.15,,27.75
University of Béjaïa,,,,,,32.7,,,25.25,,
University of Cadiz,23.85,,21.5,,17.950000000000003,22.65,,26.4,32.05,,
University of Calabria,,27.05,,38.7,,32.7,,32.650000000000006,32.05,,27.75
University of Calgary,30.6,35.45,43.85,30.7,41.1,40.0,21.6,47.15,41.25,38.45,27.75
"University of California, Berkeley",80.8,88.1,76.6,,85.7,87.8,77.1,88.0,90.8,,82.3
"University of California, Davis",33.25,,49.9,,,57.9,,80.0,65.3,68.0,57.2
"University of California, Irvine",42.75,43.3,45.5,60.7,53.0,57.1,61.6,54.45,64.6,52.2,56.7
"University of California, Los Angeles",78.1,81.0,76.7,85.7,83.3,89.3,74.5,84.7,87.3,78.9,82.4
"University of California, Merced",,,,,,28.8,,43.7,41.25,38.45,35.85
"University of California, Riverside",27.45,27.05,34.3,47.900000000000006,36.75,52.25,,57.0,55.05,43.6,32.3
"University of California, San Diego",54.6,72.9,69.9,75.4,60.8,74.6,,88.9,77.2,66.3,67.2
"University of California, Santa Barbara",48.1,,,64.0,60.6,76.8,,62.3,77.9,59.3,58.1
"University of California, Santa Cruz",38.6,,,45.5,36.75,46.75,,57.0,62.3,43.6,47.150000000000006
University of Cambridge,86.7,88.8,80.4,89.9,83.4,95.2,81.0,96.2,94.6,,87.9
University of Campinas,30.6,27.05,34.3,35.15,44.3,32.7,,38.9,32.05,,35.85
University of Canberra,,35.45,47.8,,41.1,,,38.9,,31.25,41.75
University of Canterbury,30.6,41.45,43.85,30.7,27.25,28.8,,43.7,36.35,31.25,38.75
University of Cape Town,33.25,41.45,56.5,25.95,36.75,32.7,37.0,52.150000000000006,36.35,49.25,54.3
University of Carthage,,17.200000000000003,,17.299999999999997,,22.65,,15.2,14.15,,
University of Castilla-La Mancha,15.85,27.05,21.5,17.299999999999997,17.950000000000003,28.8,,26.4,25.25,,15.3
University of Catania,15.85,31.6,30.75,,,28.8,,32.650000000000006,36.35,,27.75
University of Central Florida,15.85,35.45,27.55,35.15,41.1,40.0,32.3,32.650000000000006,36.35,35.35,32.3
University of Central Lancashire,15.85,17.200000000000003,27.55,,27.25,,,15.2,,31.25,15.3
University of Cergy-Pontoise,,,,,,22.65,,,25.25,,
"University of Chemistry and Technology, Prague",,,,,,22.65,,15.2,14.15,,
University of Chester,,,,,,,,,,,15.3
University of Chile,15.85,17.200000000000003,27.55,35.15,39.2,28.8,21.6,26.4,36.35,21.25,23.2
University of Cincinnati,27.45,31.6,43.85,30.7,27.25,36.7,37.0,43.7,48.25,31.25,35.85
University of Clermont Auvergne,,,30.75,17.299999999999997,,22.65,,38.9,36.35,21.25,
University of Coimbra,23.85,27.05,30.75,30.7,39.2,28.8,21.6,38.9,32.05,31.25,32.3
University of Cologne,42.75,,45.5,,,,,57.0,41.25,50.8,
University of Colombo,,,21.5,,,,,,,,
University of Colorado Boulder,33.25,38.85,,47.900000000000006,53.1,52.25,37.0,57.0,74.2,53.8,50.45
University of Concepción,,,21.5,,17.950000000000003,22.65,,15.2,25.25,,15.3
University of Connecticut,33.25,31.6,34.3,35.15,47.85,42.75,21.6,38.9,41.25,49.25,32.3
University of Constantine 1,,,,,,13.85,,,14.15,,
University of Copenhagen,49.6,,53.3,,,,52.4,,61.0,,62.3
University of Costa Rica,,,40.2,,,,,15.2,14.15,,
University of Crete,,,42.2,25.95,,,,38.9,25.25,31.25,
University of Cyprus,27.45,27.05,,35.15,44.3,40.0,,,36.35,41.2,
University of Córdoba,15.85,,27.55,,17.950000000000003,28.8,,26.4,25.25,,15.3
University of Côte d’Azur,23.85,31.6,40.2,35.15,,32.7,,47.15,45.2,21.25,27.75
University of Dar es Salaam,,,,,,,,,,,23.2
University of Debrecen,,,27.55,,,22.65,,26.4,25.25,,32.3
University of Delaware,23.85,35.45,37.6,35.15,47.85,46.75,,47.15,50.75,43.6,35.85
University of Delhi,15.85,27.05,,25.95,,,,32.650000000000006,25.25,,15.3
University of Denver,15.85,35.45,,,47.85,,21.6,,45.2,35.35,35.85
University of Derby,,27.05,,,,,,,,31.25,15.3
University of Desarrollo,,,37.6,,,,,,,,
University of Deusto,,35.45,,,41.1,,,,,21.25,23.2
University of Dhaka,,,27.55,17.299999999999997,,13.85,,15.2,14.15,,15.3
University of Duisburg-Essen,27.45,31.6,42.2,35.15,36.75,46.75,,,36.35,,
University of Dundee,15.85,27.05,43.85,,32.599999999999994,28.8,,57.0,,49.25,32.3
University of East Anglia,30.6,41.45,40.2,,32.599999999999994,,48.9,57.0,52.6,38.45,50.45
University of East London,,,,,17.950000000000003,,,,,31.25,32.3
University of Eastern Finland,23.85,27.05,34.3,30.7,32.599999999999994,,,43.7,36.35,21.25,27.75
"University of Economics, Prague",,17.200000000000003,,,,,,,,,
University of Edinburgh,78.8,60.2,71.5,81.7,67.7,58.3,69.8,81.5,73.3,73.0,68.7
University of Electronic Science and Technology of China,,,,35.15,,40.0,,,,,
University of Engineering & Technology (UET) Lahore,,,,,,13.85,,,14.15,,
University of Erlangen-Nuremberg,27.45,41.45,40.2,51.1,27.25,55.7,,52.150000000000006,52.6,38.45,
University of Essex,30.6,48.65,30.75,43.65,,,44.7,43.7,,35.35,64.9
University of Exeter,48.0,45.55,40.2,41.5,44.3,42.75,42.1,58.8,55.05,52.7,50.45
University of Ferrara,,,27.55,35.15,,36.7,,38.9,41.25,,
University of Florence,27.45,27.05,34.3,30.7,36.75,36.7,,38.9,41.25,,35.85
University of Florida,27.45,52.0,51.1,45.5,44.3,45.1,37.0,57.0,52.6,49.25,44.25
University of Fortaleza (UNIFOR),,,21.5,,,,,,,,
University of Freiburg,56.4,,47.8,59.2,,49.1,,65.3,60.1,46.55,44.25
University of Fribourg,35.599999999999994,,34.3,,,,,43.7,48.25,41.2,35.85
University of Fukui,,,21.5,,,13.85,,,,,
University of Gdańsk,15.85,,,,,,,15.2,14.15,,15.3
University of Geneva,49.6,,43.85,47.900000000000006,41.1,,46.5,63.4,59.8,46.55,47.150000000000006
University of Genoa,23.85,27.05,34.3,30.7,,32.7,21.6,38.9,41.25,,
University of Georgia,23.85,38.85,34.3,35.15,67.5,28.8,21.6,50.0,32.05,46.55,50.45
University of Ghana,,27.05,27.55,,,,,15.2,14.15,,27.75
University of Girona,15.85,27.05,30.75,,27.25,36.7,,32.650000000000006,41.25,21.25,27.75
University of Glasgow,47.1,41.45,58.9,41.5,47.85,42.75,56.8,61.9,52.6,43.6,47.150000000000006
University of Gothenburg,33.25,38.85,45.5,25.95,39.2,32.7,32.3,50.0,41.25,35.35,47.150000000000006
University of Granada,23.85,31.6,27.55,41.5,27.25,36.7,21.6,32.650000000000006,41.25,35.35,23.2
University of Graz,30.6,31.6,,,,,,38.9,32.05,43.6,
University of Greenwich,,31.6,27.55,,27.25,32.7,,32.650000000000006,25.25,35.35,27.75
University of Greifswald,,,34.3,,,,,38.9,25.25,31.25,
University of Groningen,50.1,55.0,54.3,47.900000000000006,49.8,52.25,50.0,60.4,61.5,67.6,50.45
University of Guadalajara,,,21.5,17.299999999999997,,13.85,,15.2,14.15,21.25,15.3
University of Guanajuato,,,,,,13.85,,15.2,14.15,,
University of Guelph,15.85,31.6,,25.95,,32.7,,47.15,41.25,31.25,32.3
University of Guilan,,,,,,28.8,,15.2,25.25,,
University of Göttingen,38.6,,40.2,45.5,,,,66.0,63.1,49.25,44.25
University of Haifa,30.6,,34.3,25.95,36.75,,21.6,32.650000000000006,,38.45,32.3
University of Hamburg,45.5,41.45,42.2,41.5,55.4,,45.9,50.0,57.8,38.45,44.25
University of Havana,,,,,,,,,14.15,,
University of Hawai’i at Mānoa,35.599999999999994,35.45,34.3,35.15,36.75,36.7,,47.15,60.0,35.35,44.25
University of Helsinki,54.2,,50.0,45.5,56.8,,43.9,62.4,57.8,46.55,47.150000000000006
University of Hertfordshire,,17.200000000000003,27.55,,17.950000000000003,,,,,31.25,27.75
University of Hohenheim,,31.6,,,,,,47.15,,,
University of Hong Kong,65.8,70.5,70.4,72.9,89.5,68.8,69.9,70.6,67.3,58.6,76.3
University of Houston,15.85,27.05,34.3,38.7,39.2,42.75,37.0,32.650000000000006,41.25,38.45,27.75
University of Hradec Králové,,,,,17.950000000000003,,,,,,
University of Huddersfield,23.85,35.45,27.55,25.95,17.950000000000003,32.7,,,,31.25,32.3
University of Hull,15.85,35.45,30.75,,27.25,36.7,,32.650000000000006,41.25,31.25,27.75
University of Hyogo,,,,,,13.85,,,14.15,,
University of Ibadan,,,34.3,,,,,15.2,14.15,,15.3
University of Iceland,27.45,,30.75,,27.25,45.1,,54.45,48.25,35.35,35.85
University of Idaho,,,,43.65,17.950000000000003,32.7,,38.9,36.35,,23.2
University of Illinois at Chicago,27.45,41.45,47.8,41.5,44.3,40.0,,38.9,41.25,49.25,47.150000000000006
University of Illinois at Urbana-Champaign,46.9,60.9,53.5,79.0,70.7,81.7,40.6,62.4,74.5,69.8,65.8
University of Indonesia,,27.05,30.75,25.95,,22.65,,,14.15,,27.75
University of Innsbruck,27.45,38.85,34.3,38.7,,32.7,,38.9,50.75,31.25,
University of Insubria,,,34.3,,,,,32.650000000000006,32.05,,
University of International Business and Economics,,27.05,,,,,,,,,
University of Ioannina,,,30.75,17.299999999999997,,32.7,,,32.05,,
University of Iowa,27.45,38.85,47.8,41.5,55.2,36.7,21.6,43.7,48.25,43.6,35.85
University of Isfahan,,17.200000000000003,,17.299999999999997,,13.85,,15.2,14.15,,
University of Jaén,15.85,,21.5,38.7,27.25,22.65,,15.2,25.25,21.25,
University of Johannesburg,23.85,17.200000000000003,27.55,25.95,27.25,36.7,21.6,32.650000000000006,36.35,31.25,32.3
University of Jordan,,,21.5,41.5,,32.7,,15.2,25.25,,15.3
University of Jyväskylä,30.6,35.45,30.75,25.95,47.85,,,,32.05,41.2,38.75
University of Kaiserslautern,,,,35.15,,32.7,,43.7,32.05,,
University of Kansas,23.85,17.200000000000003,34.3,,39.2,32.7,,38.9,41.25,46.55,27.75
University of Kashan,,,,,,36.7,,,36.35,,
University of Kent,27.45,38.85,,35.15,,,50.9,50.0,36.35,52.8,41.75
University of Kentucky,15.85,31.6,34.3,30.7,36.75,32.7,32.3,32.650000000000006,32.05,35.35,32.3
University of Kiel,27.45,31.6,43.85,17.299999999999997,39.2,40.0,,43.7,41.25,21.25,38.75
University of Klagenfurt,,,,41.5,,,,,48.25,,41.75
University of Konstanz,33.25,43.3,,35.15,,,,54.45,41.25,51.5,55.4
University of Kurdistan,,,,,,22.65,,,25.25,,
University of KwaZulu-Natal,15.85,17.200000000000003,40.2,25.95,27.25,28.8,,26.4,32.05,31.25,27.75
University of La Frontera,,,30.75,,,,,15.2,,,
University of La Laguna,15.85,,27.55,,27.25,22.65,,15.2,45.2,21.25,15.3
University of Lagos,,,30.75,,,,,,,,15.3
University of Las Palmas de Gran Canaria,15.85,17.200000000000003,30.75,,,13.85,,26.4,14.15,,
University of Latvia,,,,,,,,26.4,25.25,,15.3
University of Lausanne,35.599999999999994,48.65,42.2,,,,42.2,57.0,45.2,38.45,44.25
University of Leeds,53.1,52.0,45.5,38.7,52.8,49.1,43.4,58.6,52.6,38.45,50.45
University of Leicester,38.6,31.6,47.8,43.65,53.8,36.7,21.6,47.15,50.75,31.25,41.75
University of Leoben,,,,,,32.7,,,25.25,,
University of Lethbridge,,,21.5,,,,,15.2,25.25,21.25,23.2
University of León,,,21.5,,32.599999999999994,,,15.2,25.25,,
University of Lille,23.85,17.200000000000003,30.75,25.95,17.950000000000003,28.8,,32.650000000000006,25.25,21.25,15.3
University of Limerick,23.85,27.05,34.3,30.7,44.3,36.7,,38.9,36.35,31.25,32.3
University of Lincoln,15.85,17.200000000000003,30.75,38.7,,,,38.9,,31.25,23.2
University of Lisbon,27.45,31.6,34.3,30.7,41.1,32.7,32.3,38.9,36.35,21.25,32.3
University of Liverpool,33.25,38.85,58.4,41.5,41.1,46.75,40.3,52.150000000000006,50.75,35.35,41.75
University of Liège,23.85,31.6,37.6,41.5,,42.75,,38.9,41.25,31.25,32.3
University of Ljubljana,15.85,27.05,27.55,30.7,17.950000000000003,22.65,21.6,26.4,25.25,21.25,23.2
University of Lleida,15.85,,21.5,,27.25,36.7,,32.650000000000006,,,35.85
University of Lorraine,15.85,17.200000000000003,40.2,30.7,,22.65,,32.650000000000006,25.25,21.25,15.3
University of Luxembourg,,38.85,,54.8,39.2,49.1,,,50.75,41.2,47.150000000000006
University of L’Aquila,,,27.55,35.15,,40.0,,32.650000000000006,36.35,,
University of Macau,35.599999999999994,31.6,,45.5,47.85,49.1,,38.9,45.2,51.3,32.3
University of Malaga,15.85,17.200000000000003,27.55,30.7,17.950000000000003,22.65,,26.4,25.25,21.25,15.3
University of Malaya,27.45,43.3,42.2,47.900000000000006,39.2,49.1,,32.650000000000006,41.25,38.45,32.3
University of Malta,15.85,,30.75,30.7,27.25,22.65,,,25.25,,23.2
University of Manchester,59.9,67.2,57.6,56.3,56.0,65.7,54.9,64.7,71.3,54.7,72.4
University of Manitoba,15.85,31.6,40.2,,27.25,36.7,,32.650000000000006,25.25,,27.75
University of Mannheim,30.6,64.5,,47.900000000000006,39.2,,,,41.25,50.8,69.1
University of Manouba,,,,25.95,,,,,,,
University of Marburg,23.85,,34.3,,,,,38.9,36.35,35.35,
University of Maribor,15.85,17.200000000000003,21.5,25.95,17.950000000000003,22.65,21.6,,32.05,,15.3
University of Marrakech Cadi Ayyad,,,,17.299999999999997,,22.65,,,14.15,,
"University of Maryland, Baltimore County",,,,30.7,,32.7,,38.9,41.25,21.25,
"University of Maryland, College Park",46.9,58.6,42.2,67.7,65.5,57.5,,57.0,67.3,61.6,60.3
University of Massachusetts,42.75,48.65,37.6,57.0,47.85,52.25,,57.0,55.05,38.45,41.75
University of Mazandaran,,,,,,32.7,,,25.25,,
University of Melbourne,60.3,66.8,76.4,61.8,73.2,61.0,74.3,72.4,64.3,67.8,60.5
University of Miami,27.45,38.85,43.85,,41.1,36.7,32.3,43.7,48.25,49.25,32.3
University of Michigan-Ann Arbor,76.0,82.4,71.8,82.1,81.9,85.2,65.6,79.3,81.0,79.1,85.6
University of Milan,27.45,,45.5,25.95,,,32.3,32.650000000000006,41.25,,27.75
University of Milan-Bicocca,,17.200000000000003,37.6,35.15,,36.7,,32.650000000000006,41.25,35.35,23.2
University of Minho,23.85,27.05,30.75,17.299999999999997,36.75,32.7,,,25.25,31.25,23.2
University of Minnesota,35.599999999999994,67.7,53.5,51.1,72.5,56.9,37.0,63.1,57.8,73.1,61.5
University of Missouri-St Louis,,,27.55,,27.25,,,,41.25,35.35,35.85
University of Miyazaki,,,21.5,,,13.85,,15.2,,,
University of Modena and Reggio Emilia,,27.05,34.3,35.15,,28.8,,38.9,36.35,,23.2
University of Monastir,,,21.5,17.299999999999997,,13.85,,15.2,14.15,,
University of Montenegro,,,,,,22.65,,,14.15,,
University of Montreal,38.6,43.3,59.1,77.1,36.75,40.0,39.7,52.150000000000006,45.2,38.45,50.45
University of Mumbai,,,,,,,,,14.15,,
University of Murcia,15.85,17.200000000000003,27.55,30.7,27.25,,,26.4,25.25,21.25,15.3
University of Mysore,,,,,,,,15.2,14.15,,
University of Münster,38.6,,40.2,35.15,27.25,,,,55.05,41.2,
